start_station_name,start_station_id,avg_lat,avg_lng,total_trips,member_trips,casual_trips,peak_departures,peak_net_outflow,peak_outflow_rate,total_rebalancing_needed,rebalancing_cost
Riverside Blvd & W 67 St,7183.03,40.777507027547976,-73.98888587951659,30174,25092,5082,6642.0,4915.0,0.7399879554351099,9165.0,19246.5
3 Ave & E 82 St,7154.10,40.775744,-73.9563752,20671,17969,2702,4326.0,3117.0,0.7205270457697642,12655.0,26575.5
Grand St & Samuel Dickstein Plaza,5335.07,40.71511871996496,-73.98417055606842,24002,22155,1847,7175.0,5154.0,0.7183275261324041,9543.0,20040.3
E 2 St & Ave B,5515.02,40.72217444,-73.98368779,34204,29692,4512,6325.0,4463.0,0.7056126482213438,9622.0,20206.2
1 Ave & E 6 St,5626.15,40.72633085971696,-73.98616880178452,33320,28743,4577,5763.0,4065.0,0.7053617907339927,9851.0,20687.1
W 47 St & 9 Ave,6786.02,40.76153045158114,-73.99007007479668,25513,22007,3506,4013.0,2825.0,0.7039621230999252,7611.0,15983.1
E 14 St & Ave B,5736.09,40.72938685,-73.97772429,23400,20993,2407,3963.0,2776.0,0.7004794347716377,6695.0,14059.5
E 9 St & Ave C,5616.01,40.72521311,-73.97768752,22088,19465,2623,4638.0,3196.0,0.6890901250539025,6991.0,14681.1
W 43 St & 10 Ave,6756.01,40.76009437,-73.99461843,46111,40721,5390,10099.0,6956.0,0.6887810674324191,13486.0,28320.6
E 2 St & Ave C,5476.03,40.7208736,-73.98085795,28946,25617,3329,5816.0,3977.0,0.6838033012379643,9447.0,19838.7
E 5 St & Ave A,5626.06,40.72479007746337,-73.98430064320564,25901,22346,3555,4110.0,2794.0,0.6798053527980535,7322.0,15376.2
St Marks Pl & 1 Ave,5626.13,40.72779126,-73.98564945,31188,26856,4332,4782.0,3234.0,0.6762860727728983,8386.0,17610.600000000002
FDR Drive & E 35 St,6230.04,40.744219,-73.97121214,30968,25947,5021,6978.0,4719.0,0.676268271711092,10871.0,22829.1
E 20 St & FDR Dr,5886.13,40.733208626522426,-73.9756813647,33257,30254,3003,6976.0,4716.0,0.6760321100917431,10394.0,21827.4
E 7 St & Ave B,5584.05,40.7251285241158,-73.98131668567657,25611,22421,3190,5328.0,3579.0,0.6717342342342343,7775.0,16327.5
