start_station_name,start_station_id,avg_lat,avg_lng,total_trips,member_trips,casual_trips,peak_departures,peak_net_outflow,peak_outflow_rate,total_rebalancing_needed,rebalancing_cost
W 21 St & 6 Ave,6140.05,40.74173969,-73.99415556,74615,67889,6726,9044.0,-3070.0,-0.3394515701017249,10662.0,22390.2
Pier 61 at Chelsea Piers,6233.04,40.746872,-74.00821,69055,56607,12448,9298.0,876.0,0.09421380942138094,11706.0,24582.600000000002
Lafayette St & E 8 St,5788.13,40.73020660529954,-73.99102628231049,62995,56032,6963,6720.0,-3983.0,-0.5927083333333333,10296.0,21621.600000000002
West St & Chambers St,5329.03,40.71754834,-74.01322069,61567,47663,13904,8053.0,-3272.0,-0.40630820812119706,10071.0,21149.100000000002
W 31 St & 7 Ave,6331.01,40.749156,-73.9916,61422,52388,9034,9425.0,1222.0,0.1296551724137931,12952.0,27199.2
9 Ave & W 33 St,6492.08,40.752568,-73.996765,58490,50800,7690,8715.0,-7926.0,-0.9094664371772806,12586.0,26430.600000000002
11 Ave & W 41 St,6726.01,40.76030096,-73.99884222,57773,49866,7907,8309.0,3967.0,0.477434107594175,10223.0,21468.3
Broadway & E 14 St,5905.12,40.73454567,-73.99074142,57743,49801,7942,5492.0,-2811.0,-0.5118353969410051,9676.0,20319.600000000002
University Pl & E 14 St,5905.14,40.734814,-73.99208500000002,57188,49567,7621,6079.0,-1065.0,-0.17519328836979767,7346.0,15426.6
Ave A & E 14 St,5779.11,40.73031071000895,-73.98047178983688,53994,48642,5352,6417.0,1177.0,0.18341904316658875,7343.0,15420.300000000001
Broadway & W 58 St,6948.10,40.76695317,-73.98169333,52897,40925,11972,7771.0,-729.0,-0.0938103204220821,9587.0,20132.7
E 33 St & 1 Ave,6197.08,40.74322681432173,-73.97449783980846,52159,46904,5255,10816.0,1329.0,0.12287352071005918,11417.0,23975.7
Broadway & W 25 St,6173.08,40.74286877312112,-73.98918628692627,51708,44000,7708,4033.0,-7304.0,-1.8110587651872057,12645.0,26554.5
6 Ave & W 33 St,6364.07,40.74901271,-73.98848395,51655,44021,7634,9342.0,2089.0,0.22361378719760222,10080.0,21168.0
8 Ave & W 31 St,6450.05,40.7505853470215,-73.9946848154068,51317,43998,7319,10138.0,1004.0,0.09903333990925232,11408.0,23956.8
7 Ave & Central Park South,6912.01,40.7667405590595,-73.9790689945221,51309,29777,21532,5476.0,-1247.0,-0.2277209642074507,9811.0,20603.100000000002
W 30 St & 10 Ave,6459.07,40.752694,-74.002353,50999,42985,8014,7111.0,-2509.0,-0.35283363802559414,8838.0,18559.8
